"parameter_id","test_id","test_code","parameter_code","parameter_name","value_type","unit","display_order","is_mandatory","is_active","lifecycle_status","formula","options","reference_status"
"de51249d-f14d-4304-bc16-5524e32f1800","5cf7ecbc-d378-488f-b4ae-f916b4dc2348","HEM-0001","PCT","Plateletcrit","Numeric","%","22","FALSE","TRUE","Active","","","CONFIGURED"
"b20332ff-015b-475b-b59f-1e9a224c5139","5cf7ecbc-d378-488f-b4ae-f916b4dc2348","HEM-0001","P_LCC","Platelet Large Cell Count","Numeric","10^9/L","23","FALSE","TRUE","Active","","","CONFIGURED"
"68126f07-8041-49cb-ac0f-914a465a81af","5cf7ecbc-d378-488f-b4ae-f916b4dc2348","HEM-0001","P_LCR","Platelet Large Cell Ratio","Numeric","%","24","FALSE","TRUE","Active","","","CONFIGURED"
"476a99a5-63c7-48e6-91c0-c3c8a66f6d7e","6ffc6f64-53dd-4244-88b0-a11842efd705","HEM-0002","HEM-0002","Hemoglobin (Hb)","Numeric","g/dL","1","TRUE","TRUE","Active","","","CONFIGURED"
"85d5c64e-3e0f-49f5-b125-ac9fd388631d","1d701fb0-84e0-46bb-aa46-f67510c3059b","HEM-0003","HEM-0003","Hematocrit (HCT/PCV)","Numeric","%","1","TRUE","TRUE","Active","","","CONFIGURED"
"3a215733-6e4f-436c-96a7-fe1cc5d6b4aa","be9c96cb-0ba2-40d8-ba8f-753e9b976576","HEM-0004","HEM-0004","RBC Count","Numeric","10^6/µL","1","TRUE","TRUE","Active","","","CONFIGURED"
"413fdab5-e089-4740-a286-bf6e6b1e876f","c2973de0-99d9-4735-ae8a-5ccb860f3fb1","HEM-0005","HEM-0005","WBC Count / TLC","Numeric","10^3/µL","1","TRUE","TRUE","Active","","","CONFIGURED"
"a8f9538b-a5b5-4a97-ad80-39140559cc1d","9ee25d34-baa5-4ec8-a67d-93f2670aabea","HEM-0006","HEM-0006","Platelet Count","Numeric","10^3/µL","1","TRUE","TRUE","Active","","","CONFIGURED"
"fdd1f296-d25b-4ee9-8345-c695846aa1b5","5fc1fd8f-b497-4b23-a5a0-90eda78cf129","HEM-0007","HEM-0007","MCV","Numeric","fL","1","TRUE","TRUE","Active","","","CONFIGURED"
"8032d3d8-c801-46ac-993a-59121d3c62d4","3e2ab27a-d4e3-4c4e-ac01-9f7c7806247f","HEM-0008","HEM-0008","MCH","Numeric","pg","1","TRUE","TRUE","Active","","","CONFIGURED"
"13b8ce6c-904f-4d0e-a0f6-7fc17c939988","4c2e89d0-d879-477b-b7f5-8414363c71bd","HEM-0009","HEM-0009","MCHC","Numeric","g/dL","1","TRUE","TRUE","Active","","","CONFIGURED"
"ade1df2f-f89e-4a06-bede-7334db5339c8","06edbf11-50a4-41b6-9d90-795f7560c7ac","HEM-0010","HEM-0010","RDW-CV","Numeric","%","1","TRUE","TRUE","Active","","","CONFIGURED"
"30cd0b9f-a3e8-412c-9955-f7d3fe14c3c1","11449343-bcac-42c7-87e0-28c5f0c8d713","HEM-0011","HEM-0011","RDW-SD","Numeric","fL","1","TRUE","TRUE","Active","","","CONFIGURED"
"09c7dc50-1e34-4d53-9551-0432e7ac1e36","3c14285a-2191-45a4-94ee-41a9d1f0337d","HEM-0012","HEM-0012","MPV","Numeric","fL","1","TRUE","TRUE","Active","","","CONFIGURED"
"6daf9c15-11fc-411d-8f9a-018c7e0d8a44","21ee192e-91d3-48f1-bbd8-ec47bdce2813","HEM-0013","HEM-0013","PDW","Numeric","fL","1","TRUE","TRUE","Active","","","CONFIGURED"
"f2d2a7ef-d171-4c7c-b9bc-aa4078174e10","afaf5fe5-9aa1-49d6-9706-eb42fe1c538c","HEM-0014","HEM-0014","PCT (Plateletcrit)","Numeric","%","1","TRUE","TRUE","Active","","","CONFIGURED"
"4aefcf1d-839f-47da-ac06-6056fc1b2db9","6af3aa48-99bd-4a59-aa1b-bd5a6805e7c6","HEM-0015","HEM-0015","Neutrophil %","Numeric","%","1","TRUE","TRUE","Active","","","CONFIGURED"
"444d8f11-eec0-416f-a0eb-516ba2c66752","ead47445-beff-472b-a9d8-0f702b9f5828","HEM-0016","HEM-0016","Lymphocyte %","Numeric","%","1","TRUE","TRUE","Active","","","CONFIGURED"
"e8db69ec-a91b-4fa3-8d4a-3badd9be2bc6","3c1d919c-f960-450e-89f6-6d1e2b8f9dcf","HEM-0017","HEM-0017","Monocyte %","Numeric","%","1","TRUE","TRUE","Active","","","CONFIGURED"
